,rank,name,original_price,sale_price
182,183,(오직미)백진주5kg 안동백진주쌀 한국라이스텍 22년산 (24년햅쌀입니다),"32,800","28,800"
183,184,(출고당일도정) 2024년산 햅쌀 당진해나루쌀 삼광미 특등급10kg (농협/당진해나루쌀조합공동사업법인),"32,800","28,800"
184,185,이쌀이다 24년산 당진해나루 삼광미 10kg,"32,900","28,900"
185,186,하얀곳간 국내산 햇찰보리 10kg (24년산 햇곡 무료배송),"32,900","28,900"
186,187,서래푸드 구운아몬드 1kg+1kg,"32,900","25,610"
187,188,2024 농협 굿뜨래 대보밤 4kg,"32,900","28,960"
188,189,브라질너트 500g x 2개 완태,"32,900","25,610"
189,190,국산 찰현미 8kg (4kg+4kg) / 24년산 / 찹쌀현미 현미찹쌀,"33,200","29,200"
190,191,(농협쌀/추청/상) 경기 안성쌀 10kg / 2024년산 햅쌀 / 2024년산 햅쌀,"33,300","29,200"
191,192,담양군농협 유기농쌀10kg / 24년 햅쌀 당일도정(상등급) 단일품종 l 친환경쌀 우렁이농법,"33,900","29,900"
192,193,24년 햇밤 알밤 옥광밤(대) 4kg,"33,900","29,900"
193,194,불릴 필요없는 국산 칼집 현미 6kg(2kg3개)// 무료배송 2024햅쌀,"34,000","25,900"
194,195,산과들에다크초콜릿 아몬드 60봉 /초코볼,"34,500","30,500"
195,196,(농협쌀/삼광) 만세보령쌀 삼광미골드 10kg / 2024년산 햅쌀,"34,600","30,500"
196,197,삼원농산 현미찹쌀 10kg - 햇 찰현미 2024년산,"34,800","30,800"
197,198,강화섬쌀 삼광 10kg,"34,900","29,900"
198,199,국산 검정보리 10kg (5kg+5kg) 보리쌀 블랙보리 흑보리 찰보리 블랙푸드 2024년산 햇곡,"34,900","30,900"
199,200,쌀집일번가/ 쌀눈쌀10kg/ 삼광쌀/ 쌀눈쌀/ 쌀/ 고품종/ 당일도정/ 공장직배송/ 박스포장 햅쌀/ 정미소,"35,000","31,000"
