,rank,name,original_price,sale_price
162,163,아우라 고농축 섬유유연제 윌유메리미 5.5L + 생화캡슐 680ml 증정,"27,900","14,900"
163,164,동서식품 맥심 모카골드 커피믹스 180T: 당일발송~,"27,500","22,000"
164,165,동원 DHA 참치 150g 원터치 12캔,"37,000","23,900"
165,166,(10%+10%+묶음중복할인)여성복BEST 기모추가 면스판팬츠 맨투맨 청바지 긴팔티셔츠 스커트 청자켓 빅사이즈,"42,600","10,240"
166,167,(신세계마산점)아디다스 스니커즈 VL 코트_ID3710ID3712ID3715ID3709,"55,200","38,870"
167,168,테팔 뉴 이노바시오 인덕션 프라이팬 2종세트(팬24+팬28)_빅스데이 커피추첨,"109,000","37,060"
168,169,(체감가10.9만) 갤럭시버즈2프로 블루투스 이어폰 SM-R510 +신세계5천+리뷰작성시 5천원 추가증정,"142,160","127,950"
169,170,WD BLUE 8TB 하드디스크 WD80EAAZ 빅스마일가 15만대/WD공식총판/우체국택배/CMR방식,"220,000","168,000"
170,171,(신세계 규격)(신세계의정부점)미래생활 나무야 나무야 네이처 클래식3겹 데코 30m30롤3팩주문폭주 순...,"32,700","25,900"
171,172,무료반품(15+10%쿠폰+사은품)1+1여성팬티5매입 2박스外 언더웨어특가/노라인/위생/요실금/똥배보정/속바지,"33,300","7,500"
172,173,설화수 탄력3종 세트(자음수/자음유액/탄력크림) + 증정,"190,000","133,000"
173,174,(CGV) G마켓 예매권 (금요특가_11/1),"15,000","9,980"
174,175,(신선집중) 10%+10% / 구운캐슈넛 1kg 24년산,"17,900","12,880"
175,176,아몬드 브리즈 오리지널 190ml 48팩,"37,000","29,600"
176,177,에뛰드 11월 메가세일 최대 63% /아이팔레트 픽싱틴트 컬픽스마스카라 그림자쉐딩 외,"34,000","13,600"
177,178,코카콜라제로 190ml x 60CAN + 증정,"45,900","28,900"
178,179,(10%+10%)(핫딜/증정이벤트) 페넬로페 인기상품 외 팬티 밴드 기저귀 전품목 2박스 특별전,"82,300","61,840"
179,180,퍼실 라벤더 듀얼(드럼/일반 겸용) 2.7L x4개 세탁세제 + 라벤더 300ml x 2개 증정,"68,000","44,200"
180,181,설화수 자음 2종 세트(자음수/자음유액) + 사은품,"140,000","98,000"
181,182,리딩게이트 12개월 이용권 온라인영어독서 영어교구,"360,000","153,600"
